,phrase,label,sentiment,subjectivity,language,count
Vatican,Vatican,FAC,0.6209386724386724,1.722642135642135,en,34
first,first,ORDINAL,,,en,32
Hurricane Melissa,Hurricane Melissa,EVENT,,,en,17
one,one,CARDINAL,,,en,15
two,two,CARDINAL,,,en,13
5,5,CARDINAL,,,en,12
2025,2025,CARDINAL,,,en,12
a decade ago,a decade ago,DATE,,,en,9
Saturday,Saturday,DATE,,,en,9
Thursday,Thursday,DATE,,,en,9
three,three,CARDINAL,,,en,9
Nov 12,Nov 12,DATE,,,en,9
Monday,Monday,DATE,,,en,7
this week,this week,DATE,,,en,6
20,20,CARDINAL,,,en,6
Friday,Friday,DATE,,,en,6
the decade,the decade,DATE,,,en,6
French,French,LANGUAGE,,,en,6
Catholic,Catholic,NORP,,,en,6
British,British,NORP,,,en,5
Palestinian,Palestinian,NORP,,,en,5
Wednesday,Wednesday,DATE,,,en,5
62,62,CARDINAL,,,en,5
half,half,CARDINAL,,,en,5
Irish,Irish,NORP,,,en,5
This week,This week,DATE,,,en,4
Jewish,Jewish,NORP,,,en,4
Russian,Russian,NORP,,,en,4
Indigenous,Indigenous,NORP,,,en,4
dozens,dozens,CARDINAL,,,en,4
today,today,DATE,,,en,4
61,61,CARDINAL,,,en,4
Inuit,Inuit,NORP,,,en,4
6,6,CARDINAL,,,en,4
Australian,Australian,NORP,,,en,4
American,American,NORP,,,en,4
1,1,CARDINAL,,,en,3
Venezuelan,Venezuelan,NORP,,,en,3
21,21,CARDINAL,,,en,3
four,four,CARDINAL,,,en,3
3,3,CARDINAL,,,en,3
European,European,NORP,,,en,3
over 25 years,over 25 years,DATE,,,en,3
Life Sciences Hub,Life Sciences Hub,PRODUCT,,,en,3
Jamaicans,Jamaicans,NORP,,,en,3
10 years,10 years,DATE,,,en,3
Indonesian,Indonesian,NORP,,,en,3
Nov. 14,Nov. 14,DATE,,,en,3
Falklands,Falklands,NORP,,,en,3
October 2025,October 2025,DATE,,,en,3
US$200 Million,US$200 Million,MONEY,,,en,3
The Activist,The Activist,WORK_OF_ART,,,en,2
South Korean,South Korean,NORP,,,en,2
Daily,Daily,DATE,,,en,2
Bibles,Bibles,PRODUCT,,,en,2
19th-century,19th-century,DATE,,,en,2
200,200,CARDINAL,,,en,2
up to 30 inches,up to 30 inches,QUANTITY,,,en,2
Indian,Indian,NORP,,,en,2
Canadian,Canadian,NORP,,,en,2
Tuesday,Tuesday,DATE,,,en,2
early Wednesday,early Wednesday,DATE,,,en,2
years,years,DATE,,,en,2
Bible,Bible,WORK_OF_ART,,,en,2
monthly,monthly,DATE,,,en,2
Jamaican,Jamaican,NORP,,,en,2
Nov 6,Nov 6,DATE,,,en,2
about 3 hours ago,about 3 hours ago,TIME,,,en,2
Ukrainian,Ukrainian,NORP,,,en,2
the deadliest hours,the deadliest hours,TIME,,,en,2
the small hours of the night,the small hours of the night,TIME,,,en,2
the Paris Agreement,the Paris Agreement,LAW,,,en,2
2015,2015,DATE,,,en,2
the American Revolution,the American Revolution,EVENT,,,en,2
the 1980s and 1990s,the 1980s and 1990s,DATE,,,en,2
Chef of Antarctica,Chef of Antarctica,WORK_OF_ART,,,en,2
Predator: Badlands,Predator: Badlands,WORK_OF_ART,,,en,2
$7.4 million,$7.4 million,MONEY,,,en,2
Nov. 3–9 weekend,Nov. 3–9 weekend,DATE,,,en,2
Fright Train,Fright Train,WORK_OF_ART,,,en,2
Christmas,Christmas,DATE,,,en,2
the mid-19th century,the mid-19th century,DATE,,,en,2
Spanish,Spanish,NORP,,,en,2
50th,50th,ORDINAL,,,en,2
five,five,CARDINAL,,,en,2
1962,1962,DATE,,,en,2
World War II,World War II,EVENT,,,en,2
Two,Two,CARDINAL,,,en,2
"260,000","260,000",CARDINAL,,,en,2
one year,one year,DATE,,,en,2
German,German,NORP,,,en,2
roughly two months,roughly two months,DATE,,,en,2
the Ice Ages,the Ice Ages,DATE,,,en,2
28,28,CARDINAL,,,en,2
"130,000 years old","130,000 years old",DATE,,,en,2
three-month,three-month,DATE,,,en,2
1936,1936,DATE,,,en,2
more than 600,more than 600,CARDINAL,,,en,2
85,85,CARDINAL,,,en,2
25 years,25 years,DATE,,,en,2
Palestinians,Palestinians,NORP,,,en,2
Oscar,Oscar,PRODUCT,,,en,2
next year,next year,DATE,,,en,2
3654,3654,CARDINAL,,,en,2
approximately 12 tonnes,approximately 12 tonnes,QUANTITY,,,en,2
15 nights,15 nights,DATE,,,en,2
"9,889","9,889",MONEY,,,en,2
winters,winters,DATE,,,en,2
900nm,900nm,QUANTITY,,,en,2
four-day,four-day,DATE,,,en,2
three nights,three nights,DATE,,,en,2
Buddhist,Buddhist,NORP,,,en,2
